infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
4,0,33936,1,2,1
5,0,33935,1,3,1
5,0,33935,1,3,1
6,0,33934,1,4,1
7,0,33933,1,5,1
8,0,33932,1,6,1
9,0,33931,1,7,1
9,0,33931,1,7,1
10,0,33930,2,7,1
12,0,33928,3,8,1
15,0,33925,3,11,1
18,0,33922,3,14,1
21,0,33919,3,17,1
24,0,33916,5,18,1
28,0,33912,7,20,1
34,0,33906,7,26,1
39,0,33901,10,28,1
47,0,33893,13,33,1
57,0,33883,14,42,1
70,0,33870,19,50,1
87,0,33853,24,62,1
108,0,33832,32,69,7
114,0,33826,38,69,7
119,0,33821,39,73,7
125,0,33815,42,76,7
133,0,33807,47,79,7
146,0,33794,54,85,7
162,0,33778,60,95,7
188,0,33752,69,112,7
222,0,33718,81,134,7
258,0,33682,93,158,7
307,0,33633,111,189,7
365,0,33575,130,228,7
446,0,33494,160,279,7
554,0,33386,197,336,21
672,0,33268,243,384,45
736,0,33204,284,407,45
815,0,33125,309,461,45
883,0,33057,333,495,55
954,0,32986,366,533,55
1035,0,32905,394,586,55
1148,0,32792,434,659,55
1288,0,32652,486,747,55
1472,0,32468,551,866,55
1697,0,32243,649,993,55
1999,0,31941,760,1184,55
2379,0,31561,907,1394,78
2846,0,31094,1096,1638,112
3323,0,30617,1297,1874,152
3861,0,30079,1526,2153,182
4412,0,29528,1719,2437,256
5004,0,28936,1955,2729,320
5397,0,28543,2145,2905,347
5803,0,28137,2326,3127,350
6207,0,27733,2473,3337,397
6648,0,27292,2691,3553,404
7086,0,26854,2881,3785,420
7583,0,26357,3080,4074,429
8133,0,25807,3308,4377,448
8753,0,25187,3543,4757,453
9405,0,24535,3803,5141,461
10074,0,23866,4037,5575,462
10765,80,23095,4291,5999,475
11493,144,22303,4580,6438,475
11987,213,21740,4805,6704,478
12496,281,21163,4995,7018,483
12946,342,20652,5178,7287,481
13442,404,20094,5372,7587,483
13929,457,19554,5549,7887,493
14378,517,19045,5725,8151,502
14829,585,18526,5911,8393,525
15227,643,18070,6070,8631,526
15500,686,17754,6182,8792,526
15749,742,17449,6283,8940,526
15968,793,17179,6367,9076,525
16167,852,16921,6441,9201,525
16295,898,16747,6485,9285,525
16447,929,16564,6545,9373,529
16588,967,16385,6608,9451,529
16689,1001,16250,6651,9509,529
16720,1033,16187,6665,9526,529
16757,1050,16133,6687,9541,529
16798,1082,16060,6699,9570,529
16818,1112,16010,6708,9581,529
16831,1134,15975,6712,9590,529
16834,1166,15940,6710,9596,528
16846,1199,15895,6715,9603,528
16858,1211,15871,6720,9610,528
16890,1249,15801,6747,9616,527
16914,1293,15733,6757,9630,527
16945,1327,15668,6770,9650,525
16978,1368,15594,6781,9672,525
17044,1408,15488,6809,9710,525
17102,1446,15392,6826,9752,524
17179,1485,15276,6857,9798,524
17244,1524,15172,6889,9832,523
17369,1594,14977,6931,9916,522
17512,1644,14784,6990,10001,521
17668,1708,14564,7064,10084,520
17850,1760,14330,7134,10197,519
18251,1830,13859,7293,10424,534
18693,1913,13334,7456,10686,551
19137,1983,12820,7637,10950,550
19614,2045,12281,7837,11229,548
20176,2112,11652,8047,11565,564
20729,2195,11016,8236,11913,580
21262,2259,10419,8461,12221,580
21816,2320,9804,8657,12543,616
22456,2390,9094,8924,12914,618
23046,2463,8431,9135,13291,620
23600,2543,7797,9369,13598,633
24131,2626,7183,9576,13908,647
24774,2696,6470,9845,14277,652
25271,2784,5885,10038,14570,663
25773,2872,5295,10225,14866,682
26167,2950,4823,10410,15075,682
26600,3048,4292,10560,15356,684
26972,3138,3830,10708,15580,684
27311,3224,3405,10826,15802,683
27598,3328,3014,10934,15985,679
27852,3409,2679,11036,16139,677
28083,3510,2347,11128,16280,675
28237,3602,2101,11177,16389,671
28390,3688,1862,11222,16499,669
28479,3789,1672,11230,16581,668
28524,3900,1516,11207,16649,668
28540,4017,1383,11165,16708,667
28580,4106,1254,11132,16785,663
28594,4199,1147,11071,16862,661
28567,4287,1086,10997,16910,660
28540,4388,1012,10952,16934,654
28512,4475,953,10864,16996,652
28473,4561,906,10756,17068,649
28432,4652,856,10682,17104,646
28379,4755,806,10576,17158,645
28327,4848,765,10484,17202,641
28285,4942,713,10369,17277,639
28220,5043,677,10253,17333,634
28146,5148,646,10145,17369,632
28074,5242,624,10050,17393,631
28018,5340,582,9898,17490,630
27968,5423,549,9743,17595,630
27899,5525,516,9590,17680,629
27819,5628,493,9430,17761,628
27765,5718,457,9194,17945,626
27699,5816,425,8903,18171,625
27620,5925,395,8678,18320,622
27527,6039,374,8433,18475,619
27486,6101,353,8211,18658,617
27430,6182,328,8047,18766,617
27371,6261,308,7860,18899,612
27299,6345,296,7676,19013,610
27236,6419,285,7480,19147,609
27188,6479,273,7390,19192,606
27138,6547,255,7268,19266,604
27100,6601,239,7109,19388,603
27064,6660,216,6828,19634,602
27000,6737,203,6596,19805,599
26942,6815,183,6446,19899,597
26861,6906,173,6209,20056,596
26815,6960,165,6072,20149,594
26785,7002,153,5987,20205,593
26739,7061,140,5879,20268,592
26697,7109,134,5741,20365,591
26656,7156,128,5661,20406,589
26597,7223,120,5591,20417,589
26545,7280,115,5499,20458,588
26514,7320,106,5443,20483,588
26465,7374,101,5322,20555,588
26424,7420,96,5272,20566,586
26375,7470,95,5193,20596,586
26333,7514,93,5171,20577,585
26301,7552,87,5153,20564,584
26274,7588,78,5101,20590,583
26242,7623,75,5016,20644,582
26214,7654,72,4986,20646,582
26190,7682,68,4945,20663,582
26168,7706,66,4927,20659,582
26140,7736,64,4913,20645,582
26112,7766,62,4895,20635,582
26088,7792,60,4876,20630,582
26074,7807,59,4867,20625,582
26054,7829,57,4862,20610,582
26030,7855,55,4850,20598,582
26002,7884,54,2870,22551,581
25973,7914,53,2859,22534,580
25936,7952,52,2846,22510,580
25906,7983,51,2826,22502,578
25873,8016,51,2617,22678,578
25832,8058,50,2614,22641,577
25802,8089,49,2606,22620,576
25764,8127,49,2594,22594,576
25736,8156,48,2320,22840,576
25699,8193,48,2304,22821,574
25675,8217,48,2301,22801,573
25643,8250,47,2299,22773,571
25582,8311,47,1800,23212,570
25517,8377,46,1794,23153,570
25457,8437,46,1780,23108,569
25399,8497,44,1778,23053,568
25341,8555,44,1723,23052,566
25291,8607,42,1721,23005,565
25236,8662,42,1696,22978,562
25178,8721,41,1694,22923,561
25131,8768,41,1531,23040,560
25055,8844,41,1528,22969,558
24994,8905,41,1524,22914,556
24928,8972,40,1521,22852,555
24873,9027,40,1434,22884,555
24825,9076,39,1434,22837,554
24768,9133,39,1402,22816,550
24704,9198,38,1400,22755,549
24625,9277,38,1275,22806,544
24550,9352,38,1272,22736,542
24485,9417,38,1270,22674,541
24400,9503,37,1267,22594,539
24328,9576,36,1213,22577,538
24260,9644,36,1186,22540,534
24187,9719,34,1180,22476,531
24103,9803,34,1122,22451,530
24038,9868,34,1119,22389,530
23946,9960,34,1115,22302,529
23850,10056,34,1106,22216,528
23780,10126,34,1103,22149,528
23718,10188,34,1102,22088,528
23636,10270,34,1102,22008,526
23559,10347,34,1100,21936,523
23476,10430,34,1096,21858,522
23392,10514,34,1051,21819,522
23316,10590,34,1046,21750,520
23246,10660,34,1038,21688,520
23149,10757,34,1036,21596,517
23061,10845,34,1019,21528,514
22981,10926,33,1017,21452,512
22904,11003,33,995,21397,512
22822,11085,33,992,21318,512
22743,11165,32,961,21272,510
22652,11256,32,931,21211,510
22576,11333,31,931,21137,508
22513,11396,31,899,21106,508
22443,11467,30,874,21062,507
22356,11555,29,847,21006,503
22278,11633,29,827,20949,502
22208,11703,29,825,20882,501
22129,11782,29,809,20820,500
22053,11859,28,809,20746,498
21998,11915,27,775,20726,497
21947,11967,26,756,20695,496
21881,12033,26,731,20655,495
21823,12094,23,728,20602,493
21761,12156,23,675,20596,490
21710,12207,23,674,20546,490
21652,12268,20,655,20509,488
21590,12332,18,609,20496,485
21527,12395,18,580,20464,483
21474,12449,17,580,20413,481
21446,12479,15,558,20408,480
21411,12514,15,533,20399,479
21366,12559,15,531,20356,479
21333,12594,13,531,20323,479
21292,12635,13,504,20309,479
21254,12673,13,503,20273,478
21217,12712,11,503,20239,475
21178,12752,10,476,20227,475
21145,12788,7,467,20204,474
21118,12816,6,434,20210,474
21085,12849,6,416,20195,474
21053,12881,6,416,20163,474
21022,12913,5,416,20132,474
20995,12940,5,408,20113,474
20962,12973,5,408,20081,473
20927,13008,5,408,20047,472
20908,13027,5,408,20029,471
20887,13048,5,408,20008,471
20872,13063,5,408,19993,471
20849,13086,5,408,19970,471
20837,13098,5,408,19959,470
20819,13116,5,408,19941,470
20803,13133,4,409,19925,469
20786,13150,4,407,19910,469
20757,13179,4,217,20072,468
20730,13206,4,217,20046,467
20698,13238,4,217,20014,467
20679,13257,4,216,19996,467
20655,13281,4,198,19990,467
20613,13323,4,198,19949,466
20589,13347,4,198,19926,465
20564,13372,4,198,19901,465
20534,13402,4,176,19894,464
20502,13434,4,176,19863,463
20463,13473,4,175,19828,460
20433,13503,4,175,19798,460
20396,13540,4,132,19806,458
20350,13586,4,131,19763,456
20302,13634,4,130,19716,456
20260,13676,4,130,19675,455
20209,13727,4,127,19628,454
20174,13762,4,125,19595,454
20123,13813,4,125,19545,453
20076,13860,4,124,19499,453
20026,13910,4,111,19465,450
19988,13948,4,110,19429,449
19943,13993,4,110,19385,448
19892,14044,4,110,19335,447
19843,14093,4,108,19290,445
19794,14142,4,108,19241,445
19749,14187,4,108,19197,444
19701,14235,4,108,19150,443
19618,14318,4,106,19073,439
19559,14377,4,106,19015,438
19505,14431,4,104,18966,435
19443,14493,4,102,18907,434
19380,14556,4,102,18846,432
19319,14617,4,102,18786,431
19258,14678,4,102,18727,429
19187,14749,4,102,18660,425
19108,14828,4,102,18583,423
19037,14899,4,102,18513,422
18971,14965,4,101,18449,421
18915,15021,4,101,18393,421
18861,15075,4,101,18340,420
18798,15138,4,99,18280,419
18742,15194,4,99,18226,417
18688,15248,4,99,18174,415
18629,15307,4,99,18117,413
18568,15368,4,99,18059,410
18521,15415,4,99,18012,410
18457,15479,4,98,17949,410
18385,15551,4,97,17879,409
18334,15602,4,97,17829,408
18274,15662,4,96,17772,406
18213,15723,4,96,17711,406
18137,15799,4,96,17636,405
18074,15862,4,95,17575,404
18005,15931,4,95,17507,403
17947,15989,4,95,17450,402
17889,16048,3,95,17395,399
17833,16104,3,80,17356,397
17773,16164,3,79,17298,396
17704,16233,3,78,17232,394
17656,16281,3,78,17188,390
17598,16339,3,77,17132,389
17557,16380,3,77,17091,389
17509,16428,3,77,17045,387
17470,16467,3,77,17006,387
17409,16528,3,76,16948,385
17361,16576,3,76,16902,383
17322,16615,3,75,16864,383
17279,16658,3,74,16822,383
17238,16699,3,74,16782,382
17188,16750,2,75,16732,381
17137,16801,2,57,16700,380
17102,16837,1,57,16665,380
17071,16868,1,46,16646,379
17045,16895,0,46,16622,377
17010,16930,0,37,16596,377
16985,16955,0,37,16571,377
16949,16991,0,37,16535,377
16915,17025,0,37,16503,375
16889,17051,0,37,16477,375
16854,17086,0,37,16442,375
16815,17125,0,37,16403,375
16796,17144,0,37,16385,374
16779,17161,0,37,16369,373
16756,17184,0,37,16347,372
16733,17207,0,37,16325,371
16710,17230,0,37,16302,371
16694,17246,0,37,16288,369
16669,17271,0,37,16264,368
16654,17286,0,37,16250,367
16635,17305,0,37,16232,366
16614,17326,0,37,16212,365
16601,17339,0,37,16199,365
16587,17353,0,37,16185,365
16571,17369,0,37,16169,365
16557,17383,0,37,16155,365
16536,17404,0,14,16158,364
16512,17428,0,14,16135,363
16494,17446,0,14,16117,363
16479,17461,0,14,16102,363
16459,17481,0,11,16086,362
16430,17510,0,11,16059,360
16396,17544,0,11,16026,359
16379,17561,0,11,16009,359
16361,17579,0,3,15999,359
16327,17613,0,3,15966,358
16299,17641,0,3,15941,355
16267,17673,0,3,15911,353
16221,17719,0,0,15868,353
16184,17756,0,0,15831,353
16156,17784,0,0,15804,352
16125,17815,0,0,15773,352
16094,17846,0,0,15742,352
16059,17881,0,0,15707,352
16031,17909,0,0,15681,350
16003,17937,0,0,15653,350
15972,17968,0,0,15625,347
15939,18001,0,0,15592,347
15908,18032,0,0,15563,345
15864,18076,0,0,15522,342
15839,18101,0,0,15499,340
15802,18138,0,0,15462,340
15758,18182,0,0,15420,338
15722,18218,0,0,15386,336
15668,18272,0,0,15333,335
15620,18320,0,0,15286,334
15575,18365,0,0,15241,334
15532,18408,0,0,15198,334
15469,18471,0,0,15136,333
15428,18512,0,0,15096,332
15380,18560,0,0,15048,332
15332,18608,0,0,15000,332
15287,18653,0,0,14956,331
15239,18701,0,0,14909,330
15189,18751,0,0,14860,329
15142,18798,0,0,14814,328
15102,18838,0,0,14774,328
15052,18888,0,0,14725,327
15012,18928,0,0,14685,327
14962,18978,0,0,14637,325
14917,19023,0,0,14592,325
14868,19072,0,0,14546,322
14828,19112,0,0,14508,320
14790,19150,0,0,14471,319
14735,19205,0,0,14416,319
14680,19260,0,0,14362,318
14632,19308,0,0,14314,318
14581,19359,0,0,14263,318
14539,19401,0,0,14221,318
14492,19448,0,0,14174,318
14443,19497,0,0,14127,316
14393,19547,0,0,14077,316
14348,19592,0,0,14033,315
14289,19651,0,0,13975,314
14238,19702,0,0,13924,314
14199,19741,0,0,13887,312
14165,19775,0,0,13853,312
14126,19814,0,0,13814,312
14088,19852,0,0,13776,312
14055,19885,0,0,13746,309
14019,19921,0,0,13711,308
13980,19960,0,0,13673,307
13946,19994,0,0,13639,307
13910,20030,0,0,13604,306
13867,20073,0,0,13562,305
13835,20105,0,0,13530,305
13804,20136,0,0,13499,305
13771,20169,0,0,13466,305
13741,20199,0,0,13437,304
13711,20229,0,0,13407,304
13687,20253,0,0,13383,304
13662,20278,0,0,13358,304
