infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
2,0,33938,1,0,1
2,0,33938,1,0,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
4,0,33936,1,2,1
4,0,33936,1,2,1
4,0,33936,1,2,1
4,0,33936,1,2,1
4,0,33936,1,2,1
5,0,33935,2,2,1
6,0,33934,3,2,1
9,0,33931,6,2,1
14,0,33926,8,5,1
20,0,33920,10,9,1
23,0,33917,11,11,1
32,0,33908,12,19,1
40,0,33900,15,24,1
51,0,33889,21,29,1
65,0,33875,28,36,1
80,0,33860,33,46,1
102,0,33838,43,56,1
104,0,33836,45,56,3
106,0,33834,47,56,3
110,0,33830,49,58,3
116,0,33824,53,60,3
124,0,33816,56,65,3
135,0,33805,59,73,3
144,0,33796,61,80,3
161,0,33779,70,88,3
185,0,33755,78,104,3
207,0,33733,89,115,3
247,0,33693,99,145,3
295,0,33645,115,169,3
329,0,33611,126,179,11
350,0,33590,141,185,24
371,0,33569,151,196,24
397,0,33543,159,214,24
428,0,33512,172,232,24
471,0,33469,190,257,24
529,0,33411,212,293,24
606,0,33334,236,346,24
699,0,33241,279,396,24
829,0,33111,329,476,24
998,0,32942,392,582,24
1206,0,32734,466,686,24
1488,0,32452,571,829,53
1767,0,32173,702,975,88
2103,0,31837,802,1140,90
2449,0,31491,968,1255,161
2796,0,31144,1141,1427,225
3181,0,30759,1284,1618,227
3644,0,30296,1506,1857,277
4177,0,29763,1696,2176,280
4776,0,29164,1932,2539,302
5526,0,28414,2229,2990,303
6423,0,27517,2582,3534,305
7568,0,26372,3048,4170,305
8440,0,25500,3400,4654,337
9404,0,24536,3779,5223,373
10447,0,23493,4205,5819,389
11598,0,22342,4660,6454,410
12725,0,21215,5108,7107,466
13783,0,20157,5548,7691,495
14776,97,19067,5923,8257,528
15633,278,18029,6306,8696,573
16230,552,17158,6523,9032,604
16646,1006,16288,6723,9241,643
16745,1713,15482,6766,9304,648
16501,2772,14667,6659,9160,632
16043,3837,14060,6493,8893,627
15169,5301,13470,6137,8416,590
14035,7031,12874,5713,7755,539
12386,9256,12298,5046,6845,469
10745,11396,11799,4405,5919,395
9025,13617,11298,3681,4989,329
7695,15358,10887,3140,4240,290
6926,16439,10575,2810,3820,271
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
6890,16499,10551,2791,3804,270
7074,16536,10330,2871,3908,282
7247,16617,10076,2940,4012,282
7401,16760,9779,3012,4095,281
7545,17008,9387,3057,4194,281
7631,17444,8865,3070,4269,276
7632,18117,8191,3110,4237,273
7485,19089,7366,3055,4161,257
7106,20417,6417,2914,3936,243
6698,21697,5545,2763,3703,222
5845,23752,4343,2408,3233,188
4885,25826,3229,2022,2689,166
3932,27796,2212,1627,2167,130
2538,29772,1630,1039,1407,92
1187,31779,974,471,672,44
249,33450,241,107,137,5
95,33813,32,41,52,2
5,33934,1,4,1,0
5,33934,1,4,1,0
5,33934,1,4,1,0
5,33934,1,4,1,0
0,33940,0,0,0,0
