infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
3,0,33937,1,1,1
4,0,33936,1,2,1
4,0,33936,1,2,1
5,0,33935,2,2,1
6,0,33934,2,3,1
6,0,33934,2,3,1
8,0,33932,3,4,1
10,0,33930,5,4,1
12,0,33928,5,6,1
16,0,33924,6,9,1
20,0,33920,6,13,1
24,0,33916,8,15,1
29,0,33911,11,17,1
36,0,33904,15,20,1
44,0,33896,21,22,1
61,0,33879,31,29,1
83,0,33857,38,44,1
107,0,33833,43,58,6
112,0,33828,48,58,6
116,0,33824,50,60,6
122,0,33818,54,62,6
132,0,33808,57,69,6
143,0,33797,57,80,6
152,0,33788,61,85,6
164,0,33776,67,91,6
181,0,33759,76,99,6
208,0,33732,85,117,6
241,0,33699,101,134,6
287,0,33653,119,162,6
351,0,33589,140,205,6
423,0,33517,167,240,16
495,0,33445,205,268,22
555,0,33385,234,299,22
633,0,33307,256,332,45
721,0,33219,308,361,52
799,0,33141,340,403,56
867,0,33073,366,445,56
953,0,32987,407,490,56
1071,0,32869,454,561,56
1225,0,32715,517,652,56
1418,0,32522,601,761,56
1681,0,32259,705,920,56
2026,0,31914,837,1133,56
2448,0,31492,1005,1359,84
2920,0,31020,1175,1593,152
3389,0,30551,1386,1825,178
3900,0,30040,1586,2105,209
4455,0,29485,1788,2384,283
5003,0,28937,2068,2652,283
5644,0,28296,2296,3007,341
6365,0,27575,2595,3344,426
6985,0,26955,2876,3667,442
7669,0,26271,3148,4047,474
8406,0,25534,3447,4444,515
9258,0,24682,3799,4944,515
9879,0,24061,4038,5320,521
10603,0,23337,4333,5735,535
11430,0,22510,4682,6208,540
12346,0,21594,5032,6764,550
13263,0,20677,5413,7300,550
14264,0,19676,5795,7896,573
15327,0,18613,6225,8513,589
16270,105,17565,6605,9049,616
17165,175,16600,6955,9536,674
17990,242,15708,7334,9976,680
18725,324,14891,7633,10410,682
19445,404,14091,7925,10808,712
19839,456,13645,8111,11013,715
20196,506,13238,8249,11224,723
20506,577,12857,8387,11398,721
20789,634,12517,8496,11572,721
20993,694,12253,8570,11703,720
21199,743,11998,8660,11820,719
21370,810,11760,8741,11910,719
21505,874,11561,8786,12002,717
21609,912,11419,8827,12066,716
21686,968,11286,8852,12118,716
21741,1021,11178,8876,12151,714
21799,1066,11075,8909,12177,713
21823,1108,11009,8918,12192,713
21845,1151,10944,8929,12203,713
21855,1198,10887,8942,12202,711
21881,1238,10821,8956,12214,711
21881,1271,10788,8956,12214,711
21875,1294,10771,8954,12211,710
21871,1315,10754,8953,12209,709
21865,1346,10729,8950,12206,709
21865,1367,10708,8947,12209,709
21859,1389,10692,8942,12208,709
21842,1412,10686,8934,12199,709
21824,1441,10675,8928,12190,706
21916,1475,10549,8971,12240,705
22019,1512,10409,9014,12301,704
22131,1550,10259,9054,12373,704
22243,1590,10107,9094,12442,707
22384,1636,9920,9152,12526,706
22552,1679,9709,9222,12623,707
22730,1719,9491,9289,12734,707
22931,1773,9236,9379,12843,709
23180,1821,8939,9473,12999,708
23449,1874,8617,9575,13166,708
23732,1931,8277,9700,13325,707
24019,1982,7939,9814,13495,710
24498,2041,7401,10017,13770,711
25015,2101,6824,10238,14057,720
25503,2164,6273,10446,14317,740
25970,2226,5744,10641,14581,748
26371,2310,5259,10801,14819,751
26718,2383,4839,10960,15010,748
27052,2445,4443,11097,15202,753
27398,2515,4027,11248,15403,747
27722,2592,3626,11365,15610,747
28014,2667,3259,11495,15772,747
28273,2734,2933,11593,15934,746
28488,2816,2636,11685,16059,744
28706,2888,2346,11748,16216,742
28886,2964,2090,11798,16347,741
29024,3053,1863,11837,16448,739
29141,3133,1666,11838,16565,738
29253,3249,1438,11806,16711,736
29361,3337,1242,11766,16859,736
29413,3423,1104,11655,17026,732
29449,3519,972,11570,17151,728
29479,3619,842,11398,17355,726
29466,3732,742,11156,17586,724
29462,3833,645,10924,17815,723
29456,3919,565,10701,18033,722
29425,4007,508,10388,18318,719
29379,4092,469,10096,18565,718
29323,4181,436,9899,18708,716
29253,4280,407,9689,18852,712
29191,4375,374,9502,18981,708
29104,4483,353,9252,19148,704
29028,4582,330,9085,19241,702
28939,4690,311,8854,19388,697
28865,4789,286,8507,19663,695
28780,4886,274,8219,19872,689
28687,4990,263,8052,19948,687
28596,5099,245,7940,19972,684
28526,5188,226,7552,20291,683
28442,5290,208,7272,20490,680
28364,5378,198,6948,20738,678
28276,5478,186,6788,20811,677
28188,5574,178,6381,21131,676
28108,5665,167,6189,21246,673
28014,5769,157,5975,21370,669
27907,5881,152,5774,21466,667
27823,5978,139,5400,21758,665
27737,6080,123,5130,21943,664
27639,6186,115,4759,22219,661
27564,6271,105,4549,22354,661
27506,6336,98,4173,22674,659
27446,6404,90,4031,22759,656
27372,6483,85,3892,22826,654
27319,6537,84,3794,22871,654
27256,6603,81,3673,22931,652
27171,6691,78,3597,22924,650
27105,6759,76,3529,22930,646
27041,6828,71,3497,22899,645
26992,6885,63,3208,23141,643
26940,6945,55,3069,23228,643
26887,7002,51,2887,23359,641
26824,7072,44,2822,23364,638
26783,7115,42,2602,23545,636
26732,7167,41,2552,23544,636
26695,7207,38,2528,23531,636
26645,7259,36,2482,23527,636
26601,7303,36,2458,23510,633
26554,7350,36,2455,23468,631
26509,7396,35,2455,23423,631
26471,7435,34,2434,23407,630
26448,7458,34,2422,23396,630
26410,7499,31,2419,23362,629
26381,7529,30,2377,23377,627
26341,7570,29,2360,23355,626
26308,7607,25,2347,23335,626
26272,7645,23,2298,23348,626
26233,7685,22,2273,23334,626
26202,7717,21,2261,23315,626
26181,7738,21,2256,23299,626
26155,7764,21,2255,23274,626
26130,7790,20,2254,23251,625
26104,7816,20,2246,23233,625
26086,7835,19,2244,23217,625
26071,7851,18,2239,23208,624
26055,7868,17,2235,23196,624
26039,7884,17,2226,23189,624
26011,7912,17,1039,24348,624
25983,7941,16,1040,24320,623
25938,7986,16,1026,24291,621
25902,8023,15,1026,24255,621
25865,8060,15,926,24320,619
25834,8091,15,926,24289,619
25804,8121,15,925,24261,618
25774,8152,14,925,24231,618
25743,8183,14,782,24343,618
25708,8218,14,782,24309,617
25661,8265,14,781,24264,616
25617,8309,14,781,24220,616
25552,8374,14,582,24357,613
25501,8426,13,583,24305,613
25457,8470,13,566,24278,613
25398,8529,13,564,24222,612
25339,8588,13,557,24172,610
25290,8638,12,556,24124,610
25238,8690,12,544,24085,609
25186,8742,12,544,24036,606
25123,8805,12,497,24023,603
25053,8875,12,494,23957,602
24989,8939,12,494,23894,601
24922,9006,12,494,23830,598
24854,9074,12,454,23804,596
24792,9137,11,453,23745,594
24729,9200,11,433,23704,592
24681,9248,11,433,23656,592
24605,9324,11,400,23617,588
24547,9383,10,399,23562,586
24475,9455,10,376,23516,583
24391,9539,10,376,23432,583
24314,9616,10,362,23369,583
24233,9697,10,362,23288,583
24156,9774,10,362,23212,582
24077,9853,10,361,23137,579
23999,9931,10,360,23062,577
23928,10002,10,359,22994,575
23855,10075,10,358,22922,575
23791,10139,10,356,22862,573
23710,10220,10,355,22786,569
23657,10273,10,353,22735,569
23600,10331,9,353,22682,565
23509,10422,9,327,22617,565
23440,10491,9,317,22562,561
23346,10585,9,316,22470,560
23269,10662,9,312,22399,558
23200,10731,9,311,22335,554
23134,10797,9,305,22277,552
23062,10869,9,302,22209,551
22991,10940,9,302,22139,550
22921,11010,9,301,22072,548
22843,11088,9,288,22011,544
22762,11169,9,287,21935,540
22682,11249,9,285,21859,538
22594,11337,9,284,21775,535
22530,11401,9,274,21722,534
22454,11477,9,273,21649,532
22378,11553,9,272,21577,529
22309,11623,8,270,21510,529
22243,11689,8,246,21472,525
22183,11750,7,246,21415,522
22134,11800,6,218,21394,522
22068,11866,6,204,21343,521
22001,11933,6,199,21283,519
21937,11997,6,199,21220,518
21869,12065,6,199,21152,518
21825,12109,6,199,21108,518
21769,12166,5,188,21063,518
21709,12226,5,164,21027,518
21661,12274,5,163,20980,518
21608,12328,4,163,20928,517
21564,12372,4,148,20899,517
21526,12410,4,148,20861,517
21487,12451,2,150,20822,515
21447,12491,2,127,20806,514
21409,12529,2,127,20769,513
21368,12570,2,127,20730,511
21322,12617,1,128,20684,510
21272,12667,1,117,20647,508
21237,12702,1,117,20612,508
21202,12737,1,117,20577,508
21173,12766,1,117,20549,507
21141,12798,1,117,20517,507
21116,12823,1,117,20493,506
21087,12852,1,117,20464,506
21062,12877,1,117,20439,506
21035,12904,1,117,20412,506
21008,12931,1,117,20385,506
20985,12955,0,117,20362,506
20965,12975,0,112,20347,506
20945,12995,0,112,20327,506
20931,13009,0,112,20313,506
20910,13030,0,112,20293,505
20890,13050,0,112,20273,505
20877,13063,0,112,20261,504
20854,13086,0,39,20311,504
20822,13118,0,39,20280,503
20791,13149,0,39,20249,503
20767,13173,0,39,20225,503
20744,13196,0,36,20206,502
20715,13225,0,36,20178,501
20688,13252,0,36,20151,501
20662,13278,0,36,20128,498
20637,13303,0,27,20112,498
20600,13340,0,27,20076,497
20570,13370,0,27,20046,497
20534,13406,0,27,20011,496
20489,13451,0,12,19983,494
20459,13481,0,12,19954,493
20422,13518,0,12,19919,491
20383,13557,0,12,19882,489
20323,13617,0,11,19826,486
20268,13672,0,11,19773,484
20223,13717,0,11,19728,484
20189,13751,0,11,19695,483
20141,13799,0,8,19650,483
20084,13856,0,8,19594,482
20040,13900,0,8,19553,479
19995,13945,0,8,19509,478
19933,14007,0,2,19454,477
19894,14046,0,2,19416,476
19829,14111,0,2,19356,471
19776,14164,0,2,19303,471
19711,14229,0,0,19243,468
19636,14304,0,0,19170,466
19570,14370,0,0,19106,464
19503,14437,0,0,19041,462
19435,14505,0,0,18976,459
19383,14557,0,0,18924,459
19312,14628,0,0,18855,457
19251,14689,0,0,18799,452
19186,14754,0,0,18734,452
19129,14811,0,0,18680,449
19076,14864,0,0,18630,446
19014,14926,0,0,18571,443
18947,14993,0,0,18510,437
18891,15049,0,0,18456,435
18823,15117,0,0,18389,434
18771,15169,0,0,18339,432
18710,15230,0,0,18280,430
18643,15297,0,0,18217,426
18585,15355,0,0,18161,424
18524,15416,0,0,18101,423
18459,15481,0,0,18036,423
18388,15552,0,0,17967,421
18328,15612,0,0,17909,419
18260,15680,0,0,17842,418
18195,15745,0,0,17778,417
18140,15800,0,0,17725,415
18076,15864,0,0,17663,413
18012,15928,0,0,17600,412
17962,15978,0,0,17551,411
17919,16021,0,0,17510,409
17868,16072,0,0,17461,407
17822,16118,0,0,17415,407
17771,16169,0,0,17366,405
17723,16217,0,0,17319,404
17670,16270,0,0,17267,403
17613,16327,0,0,17210,403
17567,16373,0,0,17165,402
17530,16410,0,0,17128,402
17482,16458,0,0,17081,401
17446,16494,0,0,17045,401
17407,16533,0,0,17006,401
17358,16582,0,0,16957,401
17326,16614,0,0,16926,400
17276,16664,0,0,16876,400
17253,16687,0,0,16853,400
17223,16717,0,0,16823,400
17188,16752,0,0,16789,399
17157,16783,0,0,16760,397
17118,16822,0,0,16722,396
17088,16852,0,0,16692,396
17055,16885,0,0,16660,395
17011,16929,0,0,16618,393
16992,16948,0,0,16600,392
16967,16973,0,0,16576,391
16937,17003,0,0,16546,391
16898,17042,0,0,16507,391
16879,17061,0,0,16489,390
16858,17082,0,0,16468,390
16834,17106,0,0,16445,389
16808,17132,0,0,16419,389
16794,17146,0,0,16405,389
16780,17160,0,0,16391,389
16767,17173,0,0,16378,389
16756,17184,0,0,16367,389
16744,17196,0,0,16355,389
16727,17213,0,0,16338,389
16719,17221,0,0,16331,388
16708,17232,0,0,16320,388
16687,17253,0,0,16300,387
16672,17268,0,0,16285,387
16655,17285,0,0,16268,387
16639,17301,0,0,16252,387
16619,17321,0,0,16232,387
16601,17339,0,0,16214,387
16576,17364,0,0,16189,387
16549,17391,0,0,16162,387
16519,17421,0,0,16132,387
16490,17450,0,0,16104,386
16464,17476,0,0,16080,384
16442,17498,0,0,16059,383
16406,17534,0,0,16027,379
16376,17564,0,0,15997,379
16340,17600,0,0,15961,379
16306,17634,0,0,15927,379
16269,17671,0,0,15890,379
16233,17707,0,0,15856,377
16192,17748,0,0,15817,375
16155,17785,0,0,15781,374
16115,17825,0,0,15743,372
16081,17859,0,0,15709,372
16033,17907,0,0,15662,371
15995,17945,0,0,15625,370
15953,17987,0,0,15583,370
15913,18027,0,0,15545,368
15868,18072,0,0,15502,366
15823,18117,0,0,15458,365
15766,18174,0,0,15403,363
15723,18217,0,0,15360,363
15664,18276,0,0,15302,362
15624,18316,0,0,15262,362
15566,18374,0,0,15204,362
15506,18434,0,0,15146,360
15455,18485,0,0,15097,358
15411,18529,0,0,15055,356
15375,18565,0,0,15020,355
15331,18609,0,0,14978,353
15273,18667,0,0,14921,352
15225,18715,0,0,14874,351
15173,18767,0,0,14823,350
15116,18824,0,0,14769,347
15069,18871,0,0,14725,344
15026,18914,0,0,14685,341
14977,18963,0,0,14636,341
14937,19003,0,0,14597,340
14879,19061,0,0,14540,339
14843,19097,0,0,14504,339
14791,19149,0,0,14454,337
14756,19184,0,0,14420,336
14694,19246,0,0,14363,331
14649,19291,0,0,14319,330
14596,19344,0,0,14266,330
14548,19392,0,0,14219,329
14492,19448,0,0,14167,325
14441,19499,0,0,14118,323
14395,19545,0,0,14074,321
14355,19585,0,0,14037,318
14295,19645,0,0,13978,317
14249,19691,0,0,13932,317
14218,19722,0,0,13901,317
14192,19748,0,0,13875,317
14148,19792,0,0,13831,317
14113,19827,0,0,13797,316
14081,19859,0,0,13765,316
14038,19902,0,0,13724,314
14003,19937,0,0,13691,312
13968,19972,0,0,13656,312
13924,20016,0,0,13613,311
13881,20059,0,0,13571,310
13851,20089,0,0,13543,308
13822,20118,0,0,13517,305
13804,20136,0,0,13499,305
13785,20155,0,0,13480,305
13754,20186,0,0,13449,305
13730,20210,0,0,13425,305
13705,20235,0,0,13401,304
13679,20261,0,0,13375,304
