infected,immune,susceptible,spread,attack,control
1,0,33939,1,0,0
2,0,33938,1,0,1
2,0,33938,1,0,1
2,0,33938,1,0,1
3,0,33937,2,0,1
5,0,33935,3,1,1
7,0,33933,5,1,1
11,0,33929,6,4,1
15,0,33925,8,6,1
21,0,33919,12,8,1
28,0,33912,17,10,1
38,0,33902,21,16,1
53,0,33887,29,23,1
75,0,33865,39,35,1
101,0,33839,50,49,1
102,0,33838,51,49,2
103,0,33837,51,50,2
103,0,33837,51,50,2
103,0,33837,51,50,2
103,0,33837,51,50,2
103,0,33837,51,50,2
103,0,33837,51,50,2
104,0,33836,51,51,2
104,0,33836,51,51,2
104,0,33836,51,51,2
105,0,33835,52,51,2
105,0,33835,52,51,2
106,0,33834,52,52,2
107,0,33833,53,52,2
108,0,33832,54,52,2
110,0,33830,54,54,2
114,0,33826,56,56,2
118,0,33822,57,59,2
123,0,33817,61,60,2
132,0,33808,66,64,2
145,0,33795,74,69,2
165,0,33775,80,83,2
187,0,33753,87,98,2
215,0,33725,89,109,2
230,0,33710,104,109,17
242,0,33698,109,116,17
261,0,33679,119,125,17
282,0,33658,129,136,17
312,0,33628,141,154,17
345,0,33595,154,174,17
390,0,33550,168,205,17
446,0,33494,199,230,17
524,0,33416,232,275,17
632,0,33308,276,339,17
785,0,33155,344,424,17
976,0,32964,408,522,17
1174,0,32766,505,621,46
1389,0,32551,572,718,48
1633,0,32307,683,821,99
1896,0,32044,789,950,128
2187,0,31753,915,1076,157
2516,0,31424,1044,1217,193
2859,0,31081,1218,1386,252
3246,0,30694,1357,1619,252
3727,0,30213,1573,1884,266
4130,0,29810,1739,2121,267
4606,0,29334,1923,2413,267
5174,0,28766,2149,2755,267
5887,0,28053,2420,3197,267
6613,0,27327,2718,3612,267
7416,0,26524,3022,4096,279
8339,0,25601,3390,4623,294
9270,0,24670,3772,5157,319
10186,0,23754,4143,5664,335
11150,0,22790,4546,6167,372
12040,0,21900,4932,6623,427
12948,0,20992,5326,7101,479
13541,0,20399,5590,7416,505
14113,0,19827,5814,7730,519
14695,0,19245,6073,8025,553
15249,0,18691,6310,8327,582
15701,0,18239,6479,8595,597
16075,67,17798,6617,8827,611
16361,202,17377,6741,8979,613
16520,418,17002,6824,9058,622
16479,763,16698,6789,9047,622
16229,1314,16397,6704,8891,618
15708,2131,16101,6499,8602,591
14870,3301,15769,6134,8154,567
13821,4620,15499,5719,7550,538
12499,6259,15182,5157,6838,490
11029,8020,14891,4560,6030,425
9506,9853,14581,3925,5191,376
8568,10957,14415,3525,4685,344
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8238,11384,14318,3403,4490,331
8309,11413,14218,3436,4528,334
8385,11471,14084,3466,4574,334
8453,11595,13892,3496,4612,334
8524,11804,13612,3519,4660,334
8583,12183,13174,3543,4696,333
8594,12794,12552,3533,4720,330
8511,13691,11738,3506,4673,320
8367,14902,10671,3448,4592,316
8173,16106,9661,3371,4480,314
7761,18075,8104,3205,4253,295
7318,20127,6495,3004,4026,277
6832,22177,4931,2806,3765,253
5954,23870,4116,2422,3304,227
4840,26043,3057,1967,2693,180
3990,28155,1795,1612,2236,142
3629,29325,986,1471,2028,130
3409,29672,859,1383,1904,122
3408,29673,859,1382,1904,122
3408,29673,859,1382,1904,122
3408,29673,859,1382,1904,122
2171,31259,510,851,1242,78
1769,31783,388,702,1006,61
1768,31784,388,701,1006,61
1768,31784,388,701,1006,61
709,33073,158,279,413,17
618,33185,137,255,350,13
618,33185,137,255,350,13
618,33185,137,255,350,13
1,33939,0,0,1,0
0,33940,0,0,0,0
