infected,immune,susceptible,spread,attack,control
1,0,33940,1,0,0
1,0,33940,1,0,0
1,0,33940,1,0,0
1,0,33940,1,0,0
1,0,33940,1,0,0
2,0,33939,1,1,0
3,0,33938,2,1,0
4,0,33937,3,1,0
7,0,33934,3,4,0
9,0,33932,4,5,0
11,0,33930,4,7,0
13,0,33928,4,9,0
16,0,33925,5,11,0
20,0,33921,6,14,0
23,0,33918,8,15,0
28,0,33913,8,20,0
33,0,33908,10,23,0
42,0,33899,13,29,0
49,0,33892,14,35,0
58,0,33883,19,39,0
74,0,33867,23,51,0
87,0,33854,26,61,0
106,0,33835,31,69,0
112,0,33829,37,69,6
117,0,33824,40,71,6
121,0,33820,41,74,6
128,0,33813,41,81,6
136,0,33805,45,85,6
143,0,33798,48,89,6
154,0,33787,53,95,6
168,0,33773,56,106,6
183,0,33758,61,116,6
202,0,33739,70,126,6
229,0,33712,82,141,6
269,0,33672,97,166,6
312,0,33629,112,194,6
373,0,33568,129,220,6
432,0,33509,158,250,24
489,0,33452,179,286,24
566,0,33375,205,337,24
660,0,33281,222,368,24
736,0,33205,279,387,70
798,0,33143,302,426,70
877,0,33064,328,479,70
981,0,32960,355,556,70
1103,0,32838,408,625,70
1261,0,32680,473,718,70
1449,0,32492,555,824,70
1710,0,32231,656,984,70
2043,0,31898,788,1146,70
2404,0,31537,949,1346,109
2832,0,31109,1112,1611,109
3344,0,30597,1319,1913,109
3978,0,29963,1586,2243,112
4619,0,29322,1877,2560,147
5387,0,28554,2165,2937,181
6071,0,27870,2465,3248,278
6731,0,27210,2770,3570,351
7403,0,26538,3058,3891,383
8159,0,25782,3376,4268,446
8667,0,25274,3622,4524,492
9215,0,24726,3828,4840,501
9813,0,24128,4073,5148,526
10451,0,23490,4382,5472,570
11072,0,22869,4628,5827,577
11710,0,22231,4860,6221,597
12403,0,21538,5158,6607,609
13109,0,20832,5428,7040,617
13924,0,20017,5746,7505,621
14707,0,19234,6069,7959,649
15515,0,18426,6412,8420,659
16312,0,17629,6714,8902,662
16837,0,17104,6926,9213,671
17347,0,16594,7127,9513,674
17839,0,16102,7307,9813,683
18292,0,15649,7485,10085,694
18678,0,15263,7654,10302,698
19018,0,14923,7797,10489,698
19332,0,14609,7938,10654,708
19603,0,14338,8056,10807,714
19812,0,14129,8138,10934,715
19984,0,13957,8214,11023,715
20166,0,13775,8292,11126,722
20311,0,13630,8351,11212,723
20387,0,13554,8379,11260,723
20446,0,13495,8404,11294,723
20507,0,13434,8424,11334,723
20571,0,13370,8452,11369,724
20593,0,13348,8459,11383,724
20623,0,13318,8473,11399,725
20649,0,13292,8483,11415,725
20678,0,13263,8501,11426,725
20706,0,13235,8510,11445,725
20732,0,13209,8522,11459,725
20752,0,13189,8533,11468,725
20773,0,13168,8541,11479,725
20831,0,13110,8576,11501,745
20881,0,13060,8599,11528,746
20927,0,13014,8616,11557,746
20984,0,12957,8639,11591,746
21082,0,12859,8675,11649,746
21198,0,12743,8722,11718,750
21315,0,12626,8777,11780,750
21445,0,12496,8841,11846,750
21642,0,12299,8926,11954,750
21830,0,12111,9002,12061,754
22050,0,11891,9105,12173,759
22282,0,11659,9197,12313,764
22706,0,11235,9354,12574,768
23168,0,10773,9534,12853,774
23633,0,10308,9720,13124,777
24134,0,9807,9905,13429,784
24646,0,9295,10115,13728,795
25151,0,8790,10310,14033,799
25699,0,8242,10526,14346,804
26172,0,7769,10712,14630,821
26749,0,7192,10943,14950,827
27262,0,6679,11161,15243,852
27764,0,6177,11367,15527,855
28226,0,5715,11560,15789,867
28769,0,5172,11768,16109,873
29309,0,4632,11998,16412,888
29760,0,4181,12173,16683,896
30143,0,3798,12330,16899,901
30454,102,3385,12457,17086,907
30655,301,2985,12532,17202,902
30627,670,2644,12517,17195,905
30340,1276,2325,12365,17077,893
29646,2256,2039,12038,16730,870
28444,3720,1777,11462,16145,831
26664,5761,1516,10672,15215,772
24193,8462,1286,9570,13901,716
21143,11709,1089,8262,12247,631
17535,15483,923,6791,10222,519
13652,19512,777,5252,8000,397
9857,23422,662,3811,5773,270
6836,26549,556,2737,3917,179
5829,27580,532,2387,3291,148
5824,27585,532,2384,3289,148
5824,27585,532,2384,3289,148
4771,28741,429,1942,2718,109
4766,28746,429,1940,2715,109
4766,28746,429,1940,2715,109
4766,28746,429,1940,2715,109
3770,29847,324,1555,2130,83
3767,29850,324,1554,2128,83
3767,29850,324,1554,2128,83
3767,29850,324,1554,2128,83
2672,31048,221,1090,1528,52
2666,31054,221,1089,1524,51
2666,31054,221,1089,1524,51
2666,31054,221,1089,1524,51
2155,31626,160,879,1243,31
2155,31626,160,879,1243,31
2155,31626,160,879,1243,31
2155,31626,160,879,1243,31
1970,31832,139,808,1135,26
1970,31832,139,808,1135,26
1970,31832,139,808,1135,26
1970,31832,139,808,1135,26
1821,31998,122,747,1050,23
1821,31998,122,747,1050,23
1821,31998,122,747,1050,23
1821,31998,122,747,1050,23
366,33567,8,69,286,10
6,33933,2,2,4,0
6,33933,2,2,4,0
6,33933,2,2,4,0
0,33941,0,0,0,0
