infected,immune,susceptible,spread,attack,control
1,0,33940,1,0,0
2,0,33939,2,0,0
2,0,33939,2,0,0
3,0,33938,2,1,0
4,0,33937,2,2,0
5,0,33936,3,2,0
5,0,33936,3,2,0
6,0,33935,4,2,0
7,0,33934,4,3,0
8,0,33933,4,4,0
10,0,33931,5,5,0
13,0,33928,7,6,0
17,0,33924,9,8,0
20,0,33921,10,10,0
23,0,33918,12,11,0
32,0,33909,15,17,0
40,0,33901,16,24,0
48,0,33893,17,31,0
57,0,33884,21,36,0
68,0,33873,24,44,0
85,0,33856,32,53,0
107,0,33834,37,63,0
114,0,33827,44,63,7
120,0,33821,44,69,7
125,0,33816,46,72,7
132,0,33809,50,75,7
140,0,33801,56,77,7
149,0,33792,59,83,7
167,0,33774,67,93,7
188,0,33753,72,109,7
212,0,33729,75,130,7
240,0,33701,83,150,7
269,0,33672,92,170,7
308,0,33633,110,191,7
365,0,33576,137,221,7
435,0,33506,159,251,7
517,0,33424,200,280,24
590,0,33351,238,315,37
678,0,33263,269,367,37
766,0,33175,309,415,42
877,0,33064,342,470,42
980,0,32961,399,516,65
1091,0,32850,446,580,65
1242,0,32699,501,676,65
1439,0,32502,592,782,65
1685,0,32256,692,918,65
1980,0,31961,809,1096,75
2343,0,31598,944,1316,75
2777,0,31164,1104,1531,83
3208,0,30733,1288,1737,142
3695,0,30246,1493,1989,181
4194,0,29747,1679,2239,213
4774,0,29167,1962,2527,272
5372,0,28569,2193,2868,283
6051,0,27890,2480,3184,309
6712,0,27229,2780,3527,382
7368,0,26573,3046,3896,402
8090,0,25851,3334,4271,424
8843,0,25098,3664,4677,479
9617,0,24324,3987,5108,500
10095,0,23846,4183,5366,515
10615,0,23326,4403,5664,539
11146,0,22795,4625,5969,541
11739,0,22202,4859,6317,543
12310,0,21631,5091,6644,556
12919,0,21022,5328,7016,568
13557,0,20384,5573,7399,568
14205,0,19736,5833,7769,578
14975,92,18874,6134,8199,590
15658,181,18102,6409,8590,627
16313,259,17369,6672,8967,645
16927,330,16684,6936,9314,663
17324,371,16246,7107,9539,665
17752,424,15765,7274,9800,666
18116,490,15335,7447,9991,665
